,id,label
0,twitter_1,SARCASM
1,twitter_2,SARCASM
2,twitter_3,SARCASM
3,twitter_4,NOT_SARCASM
4,twitter_5,NOT_SARCASM
5,twitter_6,NOT_SARCASM
6,twitter_7,NOT_SARCASM
7,twitter_8,NOT_SARCASM
8,twitter_9,NOT_SARCASM
9,twitter_10,NOT_SARCASM
10,twitter_11,NOT_SARCASM
11,twitter_12,SARCASM
12,twitter_13,SARCASM
13,twitter_14,NOT_SARCASM
14,twitter_15,SARCASM
15,twitter_16,NOT_SARCASM
16,twitter_17,NOT_SARCASM
17,twitter_18,SARCASM
18,twitter_19,NOT_SARCASM
19,twitter_20,NOT_SARCASM
20,twitter_21,NOT_SARCASM
21,twitter_22,NOT_SARCASM
22,twitter_23,NOT_SARCASM
23,twitter_24,SARCASM
24,twitter_25,SARCASM
25,twitter_26,SARCASM
26,twitter_27,NOT_SARCASM
27,twitter_28,SARCASM
28,twitter_29,SARCASM
29,twitter_30,NOT_SARCASM
30,twitter_31,NOT_SARCASM
31,twitter_32,NOT_SARCASM
32,twitter_33,SARCASM
33,twitter_34,NOT_SARCASM
34,twitter_35,NOT_SARCASM
35,twitter_36,SARCASM
36,twitter_37,SARCASM
37,twitter_38,NOT_SARCASM
38,twitter_39,NOT_SARCASM
39,twitter_40,SARCASM
40,twitter_41,SARCASM
41,twitter_42,SARCASM
42,twitter_43,NOT_SARCASM
43,twitter_44,SARCASM
44,twitter_45,NOT_SARCASM
45,twitter_46,NOT_SARCASM
46,twitter_47,SARCASM
47,twitter_48,NOT_SARCASM
48,twitter_49,NOT_SARCASM
49,twitter_50,SARCASM
50,twitter_51,SARCASM
51,twitter_52,NOT_SARCASM
52,twitter_53,NOT_SARCASM
53,twitter_54,SARCASM
54,twitter_55,NOT_SARCASM
55,twitter_56,SARCASM
56,twitter_57,SARCASM
57,twitter_58,NOT_SARCASM
58,twitter_59,NOT_SARCASM
59,twitter_60,NOT_SARCASM
60,twitter_61,NOT_SARCASM
61,twitter_62,SARCASM
62,twitter_63,NOT_SARCASM
63,twitter_64,NOT_SARCASM
64,twitter_65,NOT_SARCASM
